head.feature_extracter.backbone.conv1.weight	(64, 3, 7, 7)
head.feature_extracter.backbone.layer3.0.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.0.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.0.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.0.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.0.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.0.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.0.downsample.0.weight	(1024, 512, 1, 1)
head.feature_extracter.backbone.layer3.0.downsample.1.weight	(1024,)
head.feature_extracter.backbone.layer3.0.downsample.1.bias	(1024,)
head.feature_extracter.backbone.layer3.0.downsample.1._mean	(1024,)
head.feature_extracter.backbone.layer3.0.downsample.1._variance	(1024,)
head.feature_extracter.backbone.layer3.1.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.1.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.1.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.1.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.1.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.1.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.1.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.1.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.1.bn2._mean	(256,)
head.feature_extracter.backbone.layer3.1.bn2._variance	(256,)
head.feature_extracter.backbone.layer3.1.conv3.weight	(1024, 256, 1, 1)
head.feature_extracter.backbone.layer3.1.bn3.weight	(1024,)
head.feature_extracter.backbone.layer3.1.bn3.bias	(1024,)
head.feature_extracter.backbone.layer3.1.bn3._mean	(1024,)
head.feature_extracter.backbone.layer3.1.bn3._variance	(1024,)
head.feature_extracter.backbone.layer3.2.conv1.weight	(256, 1024, 1, 1)
head.feature_extracter.backbone.layer3.2.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.2.bn1.bias	(256,)
